Frame,Visibility,X,Y,Z,Event,Shot,player_X,player_Y,Fast
97,1,476,88,0,0,0,0,0,0
98,1,477,87,0,0,0,0,0,0
99,1,475,92,0,0,0,0,0,0
100,1,473,101,0,0,0,0,0,0
101,1,471,108,0,0,0,0,0,0
102,1,468,120,0,0,0,0,0,0
103,1,467,132,0,0,0,0,0,0
104,1,467,132,0,0,0,0,0,0
105,1,465,144,0,0,0,0,0,0
106,1,461,158,0,0,0,0,0,0
107,1,461,171,0,0,0,0,0,0
108,1,458,188,0,0,0,0,0,0
109,1,456,206,0,0,0,0,0,0
110,1,455,204,0,0,0,0,0,0
111,1,453,223,0,0,0,0,0,0
112,1,452,244,0,0,0,0,0,0
113,1,448,261,0,0,0,0,0,0
114,1,448,282,0,0,0,0,0,0
115,1,446,307,0,0,0,0,0,0
116,1,447,305,0,0,0,0,0,0
117,1,445,327,0,0,0,0,0,0
118,1,442,350,0,0,0,0,0,0
119,1,437,317,0,2,0,0,0,0
120,1,434,228,0,0,0,0,0,0
121,1,432,182,0,0,0,0,0,0
122,1,432,183,0,0,0,0,0,0
123,1,431,139,0,0,0,0,0,0
124,1,429,108,0,0,0,0,0,0
125,1,430,86,0,0,0,0,0,0
126,1,428,66,0,0,0,0,0,0
127,1,428,47,0,0,0,0,0,0
128,1,429,51,0,0,0,0,0,0
129,1,428,38,0,0,0,0,0,0
130,1,426,27,0,0,0,0,0,0
131,1,428,18,0,0,0,0,0,0
132,1,428,15,0,0,0,0,0,0
133,1,427,10,0,0,0,0,0,0
134,1,428,12,0,0,0,0,0,0
135,1,428,12,0,0,0,0,0,0
136,1,428,12,0,0,0,0,0,0
137,1,428,12,0,0,0,0,0,0
138,1,429,12,0,0,0,0,0,0
139,1,432,16,0,0,0,0,0,0
140,1,432,15,0,0,0,0,0,0
141,1,431,22,0,0,0,0,0,0
142,1,433,28,0,0,0,0,0,0
143,1,434,32,0,0,0,0,0,0
144,1,437,41,0,0,0,0,0,0
145,1,438,51,0,0,0,0,0,0
146,1,438,50,0,0,0,0,0,0
147,1,438,60,0,0,0,0,0,0
148,1,441,71,0,0,0,0,0,0
149,1,442,80,0,0,0,0,0,0
150,1,443,92,0,0,0,0,0,0
151,1,445,105,0,0,0,0,0,0
152,1,447,105,0,0,0,0,0,0
153,1,448,118,0,0,0,0,0,0
154,1,449,132,0,0,0,0,0,0
155,1,448,182,0,1,0,0,0,0
156,1,445,235,0,0,0,0,0,0
157,1,442,265,0,0,0,0,0,0
158,1,442,267,0,0,0,0,0,0
159,1,442,297,0,0,0,0,0,0
160,1,440,328,0,0,0,0,0,0
161,1,438,350,0,0,0,0,0,0
162,1,436,378,0,0,0,0,0,0
163,1,433,399,0,0,0,0,0,0
164,1,435,398,0,0,0,0,0,0
165,1,432,418,0,0,0,0,0,0
166,1,433,447,0,0,0,0,0,0
167,1,430,463,0,0,0,0,0,0
168,1,430,491,0,0,0,0,0,0
169,1,428,505,0,0,0,0,0,0
170,1,429,508,0,0,0,0,0,0
171,1,474,457,0,2,0,0,0,0
172,1,510,409,0,0,0,0,0,0
173,1,533,388,0,0,0,0,0,0
174,1,558,365,0,0,0,0,0,0
175,1,577,346,0,0,0,0,0,0
176,1,577,345,0,0,0,0,0,0
177,1,592,332,0,0,0,0,0,0
178,1,613,317,0,0,0,0,0,0
179,1,627,309,0,0,0,0,0,0
180,1,640,301,0,0,0,0,0,0
181,1,656,296,0,0,0,0,0,0
182,1,656,295,0,0,0,0,0,0
183,1,665,292,0,0,0,0,0,0
184,1,678,288,0,0,0,0,0,0
185,1,688,289,0,0,0,0,0,0
186,1,699,290,0,0,0,0,0,0
187,1,711,290,0,0,0,0,0,0
188,1,710,293,0,0,0,0,0,0
189,1,719,296,0,0,0,0,0,0
190,1,728,302,0,0,0,0,0,0
191,1,738,306,0,0,0,0,0,0
192,1,742,316,0,0,0,0,0,0
193,1,756,322,0,0,0,0,0,0
194,1,754,321,0,0,0,0,0,0
195,1,762,328,0,0,0,0,0,0
196,1,769,340,0,0,0,0,0,0
197,1,778,354,0,0,0,0,0,0
198,1,782,363,0,0,0,0,0,0
199,1,789,375,0,0,0,0,0,0
200,1,790,377,0,0,0,0,0,0
201,1,802,359,0,1,0,0,0,0
202,1,810,342,0,0,0,0,0,0
203,1,822,315,0,0,0,0,0,0
204,1,832,302,0,0,0,0,0,0
205,1,838,292,0,0,0,0,0,0
206,1,840,292,0,0,0,0,0,0
207,1,845,288,0,0,0,0,0,0
208,1,853,278,0,0,0,0,0,0
209,1,858,273,0,0,0,0,0,0
210,1,862,274,0,0,0,0,0,0
211,1,868,273,0,0,0,0,0,0
212,1,865,276,0,0,0,0,0,0
213,1,868,277,0,0,0,0,0,0
214,1,872,279,0,0,0,0,0,0
215,1,877,285,0,0,0,0,0,0
216,1,878,288,0,0,0,0,0,0
217,1,882,297,0,0,0,0,0,0
218,1,883,295,0,0,0,0,0,0
219,1,882,306,0,0,0,0,0,0
220,1,888,316,0,0,0,0,0,0
221,1,890,327,0,0,0,0,0,0
222,1,890,337,0,0,0,0,0,0
223,1,893,349,0,0,0,0,0,0
224,1,893,353,0,0,0,0,0,0
225,1,893,368,0,0,0,0,0,0
226,1,897,386,0,0,0,0,0,0
227,1,896,402,0,0,0,0,0,0
228,1,898,420,0,0,0,0,0,0
229,1,899,437,0,0,0,0,0,0
230,1,898,437,0,0,0,0,0,0
231,1,898,452,0,0,0,0,0,0
232,1,900,469,0,0,0,0,0,0
233,1,878,409,0,2,0,0,0,0
234,1,873,378,0,0,0,0,0,0
235,1,862,351,0,0,0,0,0,0
236,1,855,335,0,0,0,0,0,0
237,1,857,326,0,0,0,0,0,0
238,1,848,313,0,0,0,0,0,0
239,1,843,301,0,0,0,0,0,0
240,1,841,293,0,0,0,0,0,0
241,1,839,289,0,0,0,0,0,0
242,1,838,289,0,0,0,0,0,0
243,1,833,282,0,0,0,0,0,0
244,1,832,279,0,0,0,0,0,0
245,1,832,278,0,0,0,0,0,0
246,1,827,278,0,0,0,0,0,0
247,1,827,281,0,0,0,0,0,0
248,1,827,282,0,0,0,0,0,0
249,1,825,285,0,0,0,0,0,0
250,1,822,286,0,0,0,0,0,0
251,1,822,293,0,0,0,0,0,0
252,1,819,298,0,0,0,0,0,0
253,1,819,305,0,0,0,0,0,0
254,1,821,304,0,0,0,0,0,0
255,1,818,310,0,0,0,0,0,0
256,1,792,288,0,1,0,0,0,0
257,1,770,262,0,0,0,0,0,0
258,1,749,242,0,0,0,0,0,0
259,1,727,222,0,0,0,0,0,0
260,1,728,222,0,0,0,0,0,0
261,1,712,212,0,0,0,0,0,0
262,1,693,195,0,0,0,0,0,0
263,1,682,188,0,0,0,0,0,0
264,1,668,182,0,0,0,0,0,0
265,1,655,175,0,0,0,0,0,0
266,1,655,178,0,0,0,0,0,0
267,1,642,174,0,0,0,0,0,0
268,1,631,172,0,0,0,0,0,0
269,1,618,171,0,0,0,0,0,0
270,1,608,175,0,0,0,0,0,0
271,1,598,178,0,0,0,0,0,0
272,1,598,175,0,0,0,0,0,0
273,1,590,182,0,0,0,0,0,0
274,1,577,188,0,0,0,0,0,0
275,1,568,198,0,0,0,0,0,0
276,1,559,202,0,0,0,0,0,0
277,1,548,215,0,0,0,0,0,0
278,1,548,217,0,0,0,0,0,0
279,1,541,227,0,0,0,0,0,0
280,1,533,238,0,0,0,0,0,0
281,1,523,256,0,0,0,0,0,0
282,1,517,268,0,0,0,0,0,0
283,1,509,282,0,0,0,0,0,0
284,1,508,286,0,0,0,0,0,0
285,1,502,299,0,0,0,0,0,0
286,1,494,321,0,0,0,0,0,0
287,1,488,338,0,0,0,0,0,0
288,1,481,356,0,0,0,0,0,0
289,1,477,277,0,2,0,0,0,0
290,1,478,274,0,0,0,0,0,0
291,1,473,196,0,0,0,0,0,0
292,1,472,117,0,0,0,0,0,0
293,1,476,73,0,0,0,0,0,0
294,1,473,38,0,0,0,0,0,0
295,1,474,6,0,0,0,0,0,0
296,1,477,7,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0
324,1,497,7,0,0,0,0,0,0
325,1,499,23,0,0,0,0,0,0
326,1,500,26,0,0,0,0,0,0
327,1,501,38,0,0,0,0,0,0
328,1,502,54,0,0,0,0,0,0
329,1,503,70,0,0,0,0,0,0
330,1,504,85,0,0,0,0,0,0
331,1,507,102,0,0,0,0,0,0
332,1,508,101,0,0,0,0,0,0
333,1,507,122,0,0,0,0,0,0
334,1,510,137,0,0,0,0,0,0
335,1,572,171,0,1,0,0,0,0
336,1,603,189,0,0,0,0,0,0
337,1,638,213,0,0,0,0,0,0
338,1,635,212,0,0,0,0,0,0
339,1,662,230,0,0,0,0,0,0
340,1,685,248,0,0,0,0,0,0
341,1,702,262,0,0,0,0,0,0
342,1,721,280,0,0,0,0,0,0
343,1,738,296,0,0,0,0,0,0
344,1,738,296,0,0,0,0,0,0
345,1,755,314,0,0,0,0,0,0
346,1,768,327,0,0,0,0,0,0
347,1,781,346,0,0,0,0,0,0
348,1,792,363,0,0,0,0,0,0
349,1,805,378,0,0,0,0,0,0
350,1,806,382,0,0,0,0,0,0
351,1,815,398,0,0,0,0,0,0
352,1,826,418,0,0,0,0,0,0
353,1,835,437,0,0,0,0,0,0
354,1,843,458,0,0,0,0,0,0
355,1,850,475,0,0,0,0,0,0
356,1,849,476,0,0,0,0,0,0
357,1,856,494,0,0,0,0,0,0
358,1,863,517,0,0,0,0,0,0
359,1,854,488,0,2,0,0,0,0
360,1,846,438,0,0,0,0,0,0
361,1,842,398,0,0,0,0,0,0
362,1,843,398,0,0,0,0,0,0
363,1,836,365,0,0,0,0,0,0
364,1,828,339,0,0,0,0,0,0
365,1,822,314,0,0,0,0,0,0
366,1,818,291,0,0,0,0,0,0
367,1,815,276,0,0,0,0,0,0
368,1,816,278,0,0,0,0,0,0
369,1,812,260,0,0,0,0,0,0
370,1,807,248,0,0,0,0,0,0
371,1,804,240,0,0,0,0,0,0
372,1,802,227,0,0,0,0,0,0
373,1,799,223,0,0,0,0,0,0
374,1,799,225,0,0,0,0,0,0
375,1,797,219,0,0,0,0,0,0
376,1,793,215,0,0,0,0,0,0
377,1,789,212,0,0,0,0,0,0
378,1,788,212,0,0,0,0,0,0
379,1,785,213,0,0,0,0,0,0
380,1,786,213,0,0,0,0,0,0
381,1,783,213,0,0,0,0,0,0
382,1,782,218,0,0,0,0,0,0
383,1,778,222,0,0,0,0,0,0
384,1,746,266,0,0,0,0,0,0
385,1,712,348,0,1,0,0,0,0
386,1,712,352,0,0,0,0,0,0
387,1,689,390,0,0,0,0,0,0
388,1,670,425,0,0,0,0,0,0
389,1,652,468,0,0,0,0,0,0
390,1,641,494,0,0,0,0,0,0
391,1,628,526,0,0,0,0,0,0
392,1,624,526,0,0,0,0,0,0
393,1,613,555,0,0,0,0,0,0
394,1,606,583,0,0,0,0,0,0
395,1,595,612,0,0,0,0,0,0
396,1,590,618,0,0,0,0,0,0
397,1,587,617,0,0,0,0,0,0
398,1,586,615,0,0,0,0,0,0
399,1,579,622,0,0,0,0,0,0
400,1,577,628,0,0,0,0,0,0
401,1,572,637,0,0,0,0,0,0
402,1,572,644,0,0,0,0,0,0
403,1,570,656,0,0,0,0,0,0
404,1,569,655,0,0,0,0,0,0
405,1,567,661,0,0,0,0,0,0
406,1,565,665,0,0,0,0,0,0
407,1,565,667,0,0,0,0,0,0
408,1,560,672,0,0,0,0,0,0
409,1,559,675,0,0,0,0,0,0
410,1,559,674,0,0,0,0,0,0
411,1,560,681,0,0,0,0,0,0
412,1,557,683,0,0,0,0,0,0
413,1,560,683,0,0,0,0,0,0
414,1,558,688,0,0,0,0,0,0
415,1,558,690,0,0,0,0,0,0
416,1,558,690,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0
418,1,558,690,0,0,0,0,0,0
419,1,562,694,0,0,0,0,0,0
420,1,564,698,0,0,0,0,0,0
